entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,holding_period,exit_reason
2024-11-13,2024-11-18,90493.82,90532.0,1,-142.84582000000228,-0.1576937705614805,5,horizon (5 days)
2024-11-19,2024-11-24,92341.07,97887.4,1,5356.101529999985,5.79455141598507,5,horizon (5 days)
2024-11-29,2024-12-04,97490.56,98746.24,1,1059.4432000000234,1.0856279984286055,5,horizon (5 days)
2025-01-15,2025-01-20,100510.23,102145.43,1,1432.5443400000077,1.4238483254622287,5,horizon (5 days)
2025-01-21,2025-01-26,106159.26,102563.0,1,-3804.982259999975,-3.5806401428580554,5,horizon (5 days)
2025-01-27,2025-02-01,102062.42,100623.85,1,-1641.2562699999835,-1.606484201870421,5,horizon (5 days)
2025-02-02,2025-02-07,97676.52,96537.08,1,-1333.6535999999905,-1.364013868144841,5,horizon (5 days)
2025-06-15,2025-06-20,105581.4,103317.8,0,0.0,,5,horizon (5 days)
2025-06-21,2025-06-26,102160.03,107029.64,0,0.0,,5,horizon (5 days)
2025-06-27,2025-07-02,107113.38,108888.32,0,0.0,,5,horizon (5 days)
2025-07-03,2025-07-08,109631.0,108931.9,0,0.0,,5,horizon (5 days)
2025-07-09,2025-07-14,111282.85,119863.71,0,0.0,,5,horizon (5 days)
2025-09-24,2025-09-29,113348.17,114365.2,0,0.0,,5,horizon (5 days)
2025-09-30,2025-10-05,113995.0,123520.79,0,0.0,,5,horizon (5 days)
2025-10-06,2025-10-11,124720.09,110768.89,0,0.0,,5,horizon (5 days)
