entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,holding_period,exit_reason
2025-01-03,2025-01-13,591.95,581.39,168,-1971.2011199999833,-1.980170349120413,5,horizon (5 days)
2025-01-14,2025-01-22,582.19,606.44,168,3874.310160000008,3.9571843673597478,5,horizon (5 days)
2025-01-24,2025-01-31,607.97,601.82,167,-1229.0849299999827,-1.2093421653103704,5,horizon (5 days)
2025-02-03,2025-02-10,597.77,604.85,168,987.3998400000128,0.9822353901180333,5,horizon (5 days)
2025-02-26,2025-03-05,594.54,583.06,170,-2151.7919999999867,-2.1268468134953022,5,horizon (5 days)
2025-03-06,2025-03-13,572.71,551.42,173,-3877.6444899999915,-3.9097864995788822,5,horizon (5 days)
2025-03-14,2025-03-21,562.81,563.98,169,7.302490000045509,0.007669876719870329,5,horizon (5 days)
2025-03-24,2025-03-31,574.08,559.39,166,-2626.696020000003,-2.7535643704122,5,horizon (5 days)
2025-04-01,2025-04-08,560.97,496.48,165,-10815.329249999995,-11.672989292113305,5,horizon (5 days)
2025-04-09,2025-04-16,548.62,525.66,149,-3581.10772,-4.3764845850077885,5,horizon (5 days)
2025-04-17,2025-04-25,526.41,550.64,149,3449.789550000016,4.393879329765828,5,horizon (5 days)
2025-05-07,2025-05-14,561.15,587.59,146,3692.523960000006,4.5025383597957855,5,horizon (5 days)
2025-05-15,2025-05-22,590.46,583.09,145,-1238.8147499999905,-1.4454857204577651,5,horizon (5 days)
2025-05-27,2025-06-03,591.15,596.09,142,532.8919200000091,0.6341894593607466,5,horizon (5 days)
2025-06-11,2025-06-18,601.36,597.44,141,-721.7507999999798,-0.8503535841569395,5,horizon (5 days)
2025-07-02,2025-07-10,620.45,625.82,135,556.7035500000202,0.6639713739399694,5,horizon (5 days)
2025-07-14,2025-07-21,624.81,628.77,135,365.3667000000132,0.4327261541454814,5,horizon (5 days)
2025-07-22,2025-07-29,628.86,635.26,135,693.3438000000169,0.8158809990696462,5,horizon (5 days)
2025-07-30,2025-08-06,634.46,632.78,135,-397.8773999999976,-0.4640632513154,5,horizon (5 days)
2025-08-08,2025-08-15,637.18,643.44,134,667.2369200000103,0.780690792932244,5,horizon (5 days)
2025-08-19,2025-08-26,639.81,645.16,134,544.714020000014,0.6347148420576634,5,horizon (5 days)
2025-08-27,2025-09-04,646.63,649.12,134,160.0295000000042,0.18450380326569668,5,horizon (5 days)
