entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,holding_period,exit_reason
2025-02-05,2025-02-12,604.22,603.36,165,-341.1506999999838,-0.3418480827371466,5,horizon (5 days)
2025-02-13,2025-02-21,609.73,599.94,163,-1792.94620999998,-1.8022208713170087,5,horizon (5 days)
2025-02-24,2025-03-03,597.21,583.77,163,-2383.2197400000005,-2.44576842758387,5,horizon (5 days)
2025-03-04,2025-03-11,576.86,555.92,165,-3642.0087000000203,-3.822544338440764,5,horizon (5 days)
2025-03-12,2025-03-19,558.87,567.13,164,1169.975999999995,1.2752291457535916,5,horizon (5 days)
2025-03-20,2025-03-27,565.49,567.08,164,75.01852000001236,0.08081009867072844,5,horizon (5 days)
2025-03-28,2025-04-04,555.66,505.28,167,-8590.636979999996,-9.248380385406621,5,horizon (5 days)
2025-05-07,2025-05-14,561.15,587.59,150,3793.689000000013,4.5025383597957935,5,horizon (5 days)
2025-05-15,2025-05-22,590.46,583.09,149,-1272.988949999999,-1.4454857204577751,5,horizon (5 days)
2025-05-23,2025-06-02,579.11,592.71,150,1864.2270000000135,2.1439388433569317,5,horizon (5 days)
2025-06-05,2025-06-12,593.05,603.75,149,1415.976800000004,1.600827298491918,5,horizon (5 days)
2025-07-09,2025-07-16,624.06,624.22,144,-156.71231999996235,-0.17421286530021893,5,horizon (5 days)
2025-07-17,2025-07-24,628.04,634.42,143,731.8082200000063,0.8140289746556935,5,horizon (5 days)
2025-07-25,2025-08-01,637.1,621.72,142,-2362.712439999974,-2.609040621911414,5,horizon (5 days)
2025-08-06,2025-08-13,632.78,644.89,139,1505.6938700000028,1.7101533694978528,5,horizon (5 days)
2025-08-14,2025-08-21,644.95,635.55,139,-1484.5895000000019,-1.654365481018712,5,horizon (5 days)
2025-08-22,2025-08-29,645.31,645.05,137,-212.39931999998225,-0.2400104118657792,5,horizon (5 days)
