ticker,status,dataset_size,train_samples,val_samples,test_samples,best_epoch,best_val_loss,final_train_loss,final_val_loss,training_time_sec,checkpoint_path
HSBH,success,242,169,36,37,1,0.0015849706251174212,0.001423275515359516,0.0018821957055479288,5.428135871887207,models/checkpoints/HSBH_model.pt
FOF,success,335,234,50,51,34,0.0004812419574591331,0.0003111711557721719,0.0005051378102507442,26.12958288192749,models/checkpoints/FOF_model.pt
GDO,success,335,234,50,51,57,0.00028156795451650396,0.00018951695983560057,0.000289641298877541,40.9788601398468,models/checkpoints/GDO_model.pt
JCE,success,335,234,50,51,30,0.00038408128602895886,0.0004952264534949791,0.00039982577436603606,22.896847009658813,models/checkpoints/JCE_model.pt
HCXY,success,335,234,50,51,7,6.59990546409972e-05,8.11890031400253e-05,7.21643773431424e-05,11.955130100250244,models/checkpoints/HCXY_model.pt
IDE,success,335,234,50,51,17,0.0005182191380299628,0.00046623577509308234,0.000525266703334637,14.05600619316101,models/checkpoints/IDE_model.pt
SDHY,success,335,234,50,51,96,0.00021117421420058236,0.0001223835174641863,0.00021616494632326066,51.60079884529114,models/checkpoints/SDHY_model.pt
IGI,success,335,234,50,51,3,0.00011533596261870116,8.294064582514693e-05,0.00011574706877581775,6.859971761703491,models/checkpoints/IGI_model.pt
NVOH,success,182,127,27,28,1,0.0059859538450837135,0.004420798795763403,0.006223801989108324,3.3178322315216064,models/checkpoints/NVOH_model.pt
EMXC,success,335,234,50,51,34,0.000435842463048175,0.0004014451114926487,0.00070126962964423,21.8131582736969,models/checkpoints/EMXC_model.pt
VGI,success,335,234,50,51,24,9.330951070296578e-05,0.00017544558795634657,9.827056419453584e-05,16.893543004989624,models/checkpoints/VGI_model.pt
EMO,success,335,234,50,51,7,0.0009566139779053628,0.0011916467774426565,0.0009879488352453336,8.682845115661621,models/checkpoints/EMO_model.pt
HYI,success,335,234,50,51,81,9.829054761212319e-05,0.00011185056428075768,0.00011988279948127456,44.14036417007446,models/checkpoints/HYI_model.pt
JGH,success,335,234,50,51,80,0.00020998890977352858,0.00019642654842755292,0.0002807217388181016,46.76504898071289,models/checkpoints/JGH_model.pt
MEGI,success,335,234,50,51,3,0.0005703577335225418,0.0007000592813710682,0.000600475279497914,7.617095232009888,models/checkpoints/MEGI_model.pt
FINS,success,335,234,50,51,4,0.00013281645078677684,0.00014286778832683922,0.0001330808227066882,8.250868082046509,models/checkpoints/FINS_model.pt
PGZ,success,335,234,50,51,42,0.00013225735528976656,0.00025931627351383213,0.00013632842819788493,29.180794715881348,models/checkpoints/PGZ_model.pt
IHD,success,335,234,50,51,97,0.00044767893268726766,0.00024013946858758572,0.0004633206262951717,54.312153816223145,models/checkpoints/IHD_model.pt
TBLD,success,335,234,50,51,31,0.000277302366157528,0.0003043201177206356,0.0002777895497274585,25.25583791732788,models/checkpoints/TBLD_model.pt
GHY,success,335,234,50,51,29,0.000685570907080546,0.0005601205466518877,0.0006861112196929753,22.51819396018982,models/checkpoints/GHY_model.pt
EOI,success,335,234,50,51,1,0.0008259915339294821,0.0005180033895157976,0.0008808283018879592,6.730839014053345,models/checkpoints/EOI_model.pt
GDV,success,335,234,50,51,7,0.0004686116590164602,0.00047516575796180405,0.0004862140485784039,10.12897777557373,models/checkpoints/GDV_model.pt
JRI,success,335,234,50,51,41,0.00024331627355422825,0.0005071034684078768,0.00025789227220229805,28.937347888946533,models/checkpoints/JRI_model.pt
SHEH,success,244,170,36,38,22,0.0007898785625002347,0.0006908066473746052,0.0008607018826296553,14.912819862365723,models/checkpoints/SHEH_model.pt
OXLCG,success,147,102,22,23,35,4.833558341488242e-05,5.636016521748388e-05,5.733970465371385e-05,12.118321895599365,models/checkpoints/OXLCG_model.pt
