window_idx,start,end,n_days,spd_strategy,spd_uniform,pct_strategy,pct_uniform
0,2016-01-01 00:00:00+00:00,2016-12-30 00:00:00+00:00,365,187505.54841693584,186960.8997827439,49.99912526037113,49.68047627494075
1,2016-01-02 00:00:00+00:00,2016-12-31 00:00:00+00:00,365,187147.71085903025,186613.35720198933,49.78977088469245,49.477145019156744
2,2016-01-03 00:00:00+00:00,2017-01-01 00:00:00+00:00,365,186781.2776698554,186257.44917601757,50.09216573749686,49.7888385103468
3,2016-01-04 00:00:00+00:00,2017-01-02 00:00:00+00:00,365,186402.49797470024,185889.87760030743,50.43370063452769,50.140184857038896
4,2016-01-05 00:00:00+00:00,2017-01-03 00:00:00+00:00,365,186024.11511920276,185523.1225503355,50.6350388275275,50.35058943375387
5,2016-01-06 00:00:00+00:00,2017-01-04 00:00:00+00:00,365,185619.65232600656,185131.40074425214,52.73915828140916,52.47498772232778
6,2016-01-07 00:00:00+00:00,2017-01-05 00:00:00+00:00,365,185242.09802455065,184769.09419505467,52.53488094852107,52.27896024953102
7,2016-01-08 00:00:00+00:00,2017-01-06 00:00:00+00:00,365,184939.1380888709,184479.46007981902,52.37096320902251,52.12225250088244
8,2016-01-09 00:00:00+00:00,2017-01-07 00:00:00+00:00,365,184624.4514575975,184179.42525899393,52.20070069185826,51.959917407002266
9,2016-01-10 00:00:00+00:00,2017-01-08 00:00:00+00:00,365,184300.2302622269,183870.63665076566,52.02527945893707,51.7928460398589
10,2016-01-11 00:00:00+00:00,2017-01-09 00:00:00+00:00,365,183976.70460821953,183563.11351491697,51.85023455157764,51.62645936183588
11,2016-01-12 00:00:00+00:00,2017-01-10 00:00:00+00:00,365,183652.67093113594,183255.2060407849,51.67491477620941,51.45986473597818
12,2016-01-13 00:00:00+00:00,2017-01-11 00:00:00+00:00,365,183365.7260394592,182982.57541429295,51.519662043207695,51.31235679598484
13,2016-01-14 00:00:00+00:00,2017-01-12 00:00:00+00:00,365,183056.2946905491,182688.28425971375,51.35224291853192,51.15312933673414
14,2016-01-15 00:00:00+00:00,2017-01-13 00:00:00+00:00,365,182735.05919253235,182382.2629271841,51.17843710964352,50.98755521567405
15,2016-01-16 00:00:00+00:00,2017-01-14 00:00:00+00:00,365,182303.39751061302,181971.5088390832,50.94488475239996,50.765314999454624
16,2016-01-17 00:00:00+00:00,2017-01-15 00:00:00+00:00,365,181911.58831656782,181597.7938675664,50.732894750294435,50.56311495207755
17,2016-01-18 00:00:00+00:00,2017-01-16 00:00:00+00:00,365,181506.8405851474,181211.2466051408,50.513904298462094,50.35397194006841
18,2016-01-19 00:00:00+00:00,2017-01-17 00:00:00+00:00,365,181079.28358907747,180801.76920968777,50.28257279865396,50.13242248374238
19,2016-01-20 00:00:00+00:00,2017-01-18 00:00:00+00:00,365,180647.7471930965,180388.1713650495,50.04908822789101,49.9086436411622
20,2016-01-21 00:00:00+00:00,2017-01-19 00:00:00+00:00,365,180286.83391668147,180040.47189329122,49.853814591156734,49.72051938866795
21,2016-01-22 00:00:00+00:00,2017-01-20 00:00:00+00:00,365,179908.84555686283,179677.1556515356,49.649302409177224,49.52394561749234
22,2016-01-23 00:00:00+00:00,2017-01-21 00:00:00+00:00,365,179468.21890876302,179254.5120904629,49.41089951951034,49.29527255222641
23,2016-01-24 00:00:00+00:00,2017-01-22 00:00:00+00:00,365,179038.85512137332,178842.4191862399,49.178590447706675,49.072307963948184
24,2016-01-25 00:00:00+00:00,2017-01-23 00:00:00+00:00,365,178642.34294384203,178461.42233278547,48.96405587672867,48.866168023912266
25,2016-01-26 00:00:00+00:00,2017-01-24 00:00:00+00:00,365,178234.6255752124,178071.10480010737,48.74345869027194,48.654985091424194
26,2016-01-27 00:00:00+00:00,2017-01-25 00:00:00+00:00,365,177821.29734824202,177676.54247313328,48.519825725457906,48.44150549524006
27,2016-01-28 00:00:00+00:00,2017-01-26 00:00:00+00:00,365,177406.4047527519,177281.16523218426,48.29534635251759,48.22758498644365
28,2016-01-29 00:00:00+00:00,2017-01-27 00:00:00+00:00,365,176959.2216382644,176855.74276466065,48.053396059307204,47.99740838222731
29,2016-01-30 00:00:00+00:00,2017-01-28 00:00:00+00:00,365,176511.38421983604,176429.76067876088,47.811091752214786,47.766928994149474
30,2016-01-31 00:00:00+00:00,2017-01-29 00:00:00+00:00,365,176062.5534563681,176002.76601824234,47.56824999163676,47.535901748341836
31,2016-02-01 00:00:00+00:00,2017-01-30 00:00:00+00:00,365,175589.46035469085,175552.60011877574,47.64808744402057,47.62800250796137
32,2016-02-02 00:00:00+00:00,2017-01-31 00:00:00+00:00,365,175111.7849891534,175097.45766040182,47.38780481327532,47.379997932100224
33,2016-02-03 00:00:00+00:00,2017-02-01 00:00:00+00:00,365,174632.55545748118,174640.23557925236,47.12667532610964,47.130860181438734
34,2016-02-04 00:00:00+00:00,2017-02-02 00:00:00+00:00,365,174136.82927232952,174167.82139250304,47.37018639267343,47.387258941018125
35,2016-02-05 00:00:00+00:00,2017-02-03 00:00:00+00:00,365,173682.74677952795,173734.67182812642,47.12004715510503,47.148650971092266
36,2016-02-06 00:00:00+00:00,2017-02-04 00:00:00+00:00,365,173213.5064165983,173286.9596811735,46.86155794118408,46.9020209493137
37,2016-02-07 00:00:00+00:00,2017-02-05 00:00:00+00:00,365,172730.16833013739,172825.68625842076,46.59530275109918,46.64792046293278
38,2016-02-08 00:00:00+00:00,2017-02-06 00:00:00+00:00,365,172246.07094163424,172363.12221572758,46.328629286280204,46.39310901611404
39,2016-02-09 00:00:00+00:00,2017-02-07 00:00:00+00:00,365,171745.68940983474,171884.31057430088,46.55238895587001,46.62957891135938
40,2016-02-10 00:00:00+00:00,2017-02-08 00:00:00+00:00,365,171251.99094908545,171411.1449115175,47.044039397540786,47.13413085881016
41,2016-02-11 00:00:00+00:00,2017-02-09 00:00:00+00:00,365,170789.28565655262,170967.200623941,46.78211820309267,46.88282960951181
42,2016-02-12 00:00:00+00:00,2017-02-10 00:00:00+00:00,365,170320.4235460845,170516.6062891718,47.38157522843895,47.494692120776186
43,2016-02-13 00:00:00+00:00,2017-02-11 00:00:00+00:00,365,169857.67621391627,170070.84406847518,48.485719578447544,48.61220638816513
44,2016-02-14 00:00:00+00:00,2017-02-12 00:00:00+00:00,365,169411.17164486807,169639.88447737324,49.6905128413799,49.8303598944803
45,2016-02-15 00:00:00+00:00,2017-02-13 00:00:00+00:00,365,168997.1087156001,169239.31087405368,49.43733299212532,49.585428128472884
46,2016-02-16 00:00:00+00:00,2017-02-14 00:00:00+00:00,365,168566.6165690501,168823.78981253927,49.17410745546233,49.33135670048412
47,2016-02-17 00:00:00+00:00,2017-02-15 00:00:00+00:00,365,168149.3394901604,168420.9124175123,48.91896230610676,49.08501627507745
48,2016-02-18 00:00:00+00:00,2017-02-16 00:00:00+00:00,365,167740.31820542173,168025.4991797797,48.66886518344202,48.8432398279577
49,2016-02-19 00:00:00+00:00,2017-02-17 00:00:00+00:00,365,167336.0318825195,167633.96979151643,48.421663265441225,48.60383817064324
50,2016-02-20 00:00:00+00:00,2017-02-18 00:00:00+00:00,365,166928.90493433774,167239.37524833024,48.17272443976473,48.36256231642181
51,2016-02-21 00:00:00+00:00,2017-02-19 00:00:00+00:00,365,166555.19122409684,166875.7481247298,47.94421622486504,48.14022157101678
52,2016-02-22 00:00:00+00:00,2017-02-20 00:00:00+00:00,365,166172.670370191,166502.9182904609,47.71032285918791,47.91225380436668
